customer_name,contact_name,lat,lng,tags
Dunseith,Dunseith,48.8130569,-100.0609678,ND
Mylo,Mylo,48.6352785,-99.6187555,ND
Antler,Antler,48.9708532,-101.2823803,ND
Bottineau,Bottineau,48.8272301,-100.4456984,ND
Gardena,Gardena,48.700837,-100.4976393,ND
Kramer,Kramer,48.690565,-100.7068093,ND
Landa,Landa,48.8966855,-100.9118208,ND
Lansford,Lansford,48.628909,-101.3757158,ND
Maxbass,Maxbass,48.7216878,-101.1415464,ND
Newburg,Newburg,48.7150177,-100.9129293,ND
Overly,Overly,48.6819437,-100.150136,ND
Canton City,Canton City,48.6878745,-97.6676696,ND
Crystal,Crystal,48.5969371,-97.6695334,ND
Drayton,Drayton,48.5710958,-97.1778485,ND
Hamilton,Hamilton,48.8086008,-97.4528587,ND
Mountain,Mountain,48.6877719,-97.8650966,ND
Neche,Neche,48.9861027,-97.5548,ND
Pembina,Pembina,48.9663766,-97.2436761,ND
Cando,Cando,48.4866682,-99.2098593,ND
Egeland,Egeland,48.6263945,-99.0973586,ND
Hansboro,Hansboro,48.9500078,-99.3829145,ND
Perth,Perth,48.7163932,-99.4579209,ND
Rocklake,Rocklake,48.7901657,-99.2460844,ND
Alsen,Alsen,48.6305626,-98.7048488,ND
Calio,Calio,48.6311182,-98.9329109,ND
Calvin,Calvin,48.8525068,-98.9354078,ND
Hannah,Hannah,48.9716708,-98.6917884,ND
Langdon,Langdon,48.7600007,-98.3681728,ND
Loma,Loma,48.6302832,-98.5328984,ND
Milton,Milton,48.6263838,-98.0426017,ND
Munich,Munich,48.669174,-98.8326307,ND
Nekoma,Nekoma,48.5772245,-98.370392,ND
Osnabrock,Osnabrock,48.6688857,-98.1512186,ND
Ambrose,Ambrose,48.9539222,-103.4826921,ND
Crosby,Crosby,48.9141998,-103.2949095,ND
Fortuna,Fortuna,48.9100315,-103.7793697,ND
Noonan,Noonan,48.8889194,-103.0087936,ND
Bowbells,Bowbells,48.8030833,-102.2460008,ND
Flaxton,Flaxton,48.8986389,-102.3923913,ND
Lignite,Lignite,48.8775322,-102.5629488,ND
Portal,Portal,48.9958637,-102.5496127,ND
Powers Lake,Powers Lake,48.5628042,-102.6479573,ND
Glenburn,Glenburn,48.5130744,-101.2207138,ND
Grano,Grano,48.6150203,-101.5865506,ND
Loraine,Loraine,48.8655766,-101.5679389,ND
Mohall,Mohall,48.7633556,-101.5132169,ND
Burlington,Burlington,48.2752881,-101.4287751,ND
Carpio,Carpio,48.4425171,-101.7146064,ND
Des Lacs,Des Lacs,48.257788,-101.5634984,ND
Donnybrook,Donnybrook,48.509465,-101.8851618,ND
Douglas,Douglas,47.8572261,-101.5029412,ND
Kenmare,Kenmare,48.6747476,-102.0826636,ND
Makoti,Makoti,47.9611214,-101.8046105,ND
Minot,Minot,48.2325095,-101.2962732,ND
Alamo,Alamo,48.5816949,-103.4699122,ND
Epping,Epping,48.2791887,-103.3571326,ND
Grenora,Grenora,48.6183606,-103.9379866,ND
Ray,Ray,48.3444663,-103.1651845,ND
Anamoose,Anamoose,47.8825008,-100.241246,ND
Upham,Upham,48.5816728,-100.7281937,ND
Velva,Velva,48.0561196,-100.929317,ND
Voltaire,Voltaire,48.0205632,-100.8415372,ND
Deering,Deering,48.3955721,-101.0518201,ND
Drake,Drake,47.9241692,-100.3723605,ND
Granville,Granville,48.2677874,-100.8426438,ND
Karlsruhe,Karlsruhe,48.0900056,-100.6204201,ND
Kief,Kief,47.8575023,-100.5115274,ND
New Town,New Town,47.9808483,-102.4901804,ND
Palermo,Palermo,48.3397413,-102.2290557,ND
Parshall,Parshall,47.9533459,-102.1348915,ND
Plaza,Plaza,48.0258461,-101.9610003,ND
Brocket,Brocket,48.2130558,-98.3570499,ND
Crary,Crary,48.0708347,-98.6384434,ND
Edmore,Edmore,48.4133374,-98.4542795,ND
Hampden,Hampden,48.5402849,-98.6542903,ND
Lawton,Lawton,48.3027789,-98.3692741,ND
Ardoch,Ardoch,48.2072096,-97.3422986,ND
Edinburg,Edinburg,48.4966607,-97.8620378,ND
Fairdale,Fairdale,48.4908325,-98.2312186,ND
Fordville,Fordville,48.2174934,-97.7906451,ND
Forest River,Forest River,48.2152672,-97.4681352,ND
Grafton,Grafton,48.4122108,-97.410634,ND
Hoople,Hoople,48.5347143,-97.6348091,ND
Lankin,Lankin,48.311106,-97.9250945,ND
Minto,Minto,48.2916547,-97.3714652,ND
Park River,Park River,48.3986043,-97.7411999,ND
Pisek,Pisek,48.3108259,-97.7092537,ND
Brinsmade,Brinsmade,48.1824994,-99.3240238,ND
Esmond,Esmond,48.0358398,-99.7620743,ND
Knox,Knox,48.3402764,-99.690413,ND
Leeds,Leeds,48.2888882,-99.4376352,ND
Maddock,Maddock,47.9625088,-99.530133,ND
Minnewaukan,Minnewaukan,48.071388,-99.2523572,ND
Oberon,Oberon,47.923055,-99.2040184,ND
Aneta,Aneta,47.6794377,-97.9881509,ND
Lakota,Lakota,48.0427767,-98.3362149,ND
McVille,McVille,47.7638843,-98.1773206,ND
Pekin,Pekin,47.7908303,-98.3281559,ND
Petersburg,Petersburg,48.0111053,-98.0014885,ND
Emerado,Emerado,47.918875,-97.3650837,ND
Gilby,Gilby,48.0852671,-97.4706383,ND
Grand Forks,Grand Forks,47.9252568,-97.0328547,ND
Inkster,Inkster,48.1513804,-97.6442523,ND
Larimore,Larimore,47.9066569,-97.6267539,ND
Manvel,Manvel,48.0777615,-97.176465,ND
Niagara,Niagara,47.996382,-97.8703719,ND
Northwood,Northwood,47.7341547,-97.5667543,ND
Reynolds,Reynolds,47.6722013,-97.1067515,ND
Alexander,Alexander,47.8430756,-103.642698,ND
Arnegard,Arnegard,47.8077966,-103.4410273,ND
Butte,Butte,47.8380585,-100.6654187,ND
Garrison,Garrison,47.6522225,-101.4157165,ND
Max,Max,47.8211141,-101.2987702,ND
Mercer,Mercer,47.4905538,-100.7109688,ND
Riverdale,Riverdale,47.497499,-101.371271,ND
New Rockford,New Rockford,47.6799985,-99.1378952,ND
Bowdon,Bowdon,47.4697217,-99.7078981,ND
Fessenden,Fessenden,47.6491683,-99.629289,ND
Hamberg,Hamberg,47.7630597,-99.51457,ND
Harvey,Harvey,47.769723,-99.935404,ND
Hurdsfield,Hurdsfield,47.4483295,-99.9284546,ND
Goodrich,Goodrich,47.4749954,-100.1262353,ND
McClusky,McClusky,47.4858309,-100.4431839,ND
Martin,Martin,47.8266671,-100.1151307,ND
Dodge,Dodge,47.30612,-102.2043423,ND
